"file","role","risk","lines","uses","used_by"
"apps/web/.seo/lighthouse-home-mobile-full.json","supporting-artifact","LOW","23849","0","0"
"apps/web/.seo/lighthouse-home-mobile-ultra.json","supporting-artifact","LOW","20060","0","0"
"apps/web/layout-check-movies-full-3011.png","supporting-artifact","LOW","18961","0","0"
"apps/web/layout-check-movies-full-3010.png","supporting-artifact","LOW","18632","0","0"
"lh-movies-after-run3.json","supporting-artifact","LOW","16650","0","0"
"lh-movies-after.json","supporting-artifact","LOW","15880","0","0"
"lh-movies-before.json","supporting-artifact","LOW","15877","0","0"
"lh-movies-after-run2.json","supporting-artifact","LOW","15827","0","0"
"lh-movies-before-run2.json","supporting-artifact","LOW","15728","0","0"
"apps/web/.seo/lh-movie-1318447.json","supporting-artifact","LOW","10757","0","0"
"lh-home-before.json","supporting-artifact","LOW","10154","0","0"
"lh-home-after.json","supporting-artifact","LOW","9831","0","0"
"pnpm-lock.yaml","supporting-artifact","LOW","6741","0","0"
"apps/web/layout-check-movies-3011.png","supporting-artifact","LOW","5566","0","0"
".playwright-mcp/page-2026-04-26T23-09-22-139Z.yml","supporting-artifact","LOW","3604","0","0"
"apps/web/layout-check-3011.png","supporting-artifact","LOW","2617","0","0"
"reports/lh-movie-ultra-pass2.json","supporting-artifact","LOW","2080","0","0"
"reports/lh-movie-ultra.json","supporting-artifact","LOW","2076","0","0"
"apps/web/.seo/lighthouse-home-mobile.json","supporting-artifact","LOW","2009","0","0"
"packages/db/drizzle/meta/0001_snapshot.json","supporting-artifact","LOW","1146","0","0"
"packages/db/drizzle/meta/0000_snapshot.json","supporting-artifact","LOW","1134","0","0"
".playwright-mcp/page-2026-04-27T20-37-06-651Z.yml","supporting-artifact","LOW","1043","0","0"
"biome.json","supporting-artifact","LOW","457","0","0"
"apps/web/scripts/verify-seo-schema-contract.mjs","seo-or-build-script","MEDIUM","456","4","0"
"apps/web/src/lib/moviesDiscoverCopy.ts","domain-lib","LOW","362","5","0"
"apps/web/src/lib/cartoonsDiscoverCopy.ts","domain-lib","LOW","356","4","0"
"CODE_INDEX.md","supporting-artifact","LOW","342","0","0"
"docs/seo-google-2026-megdb-checklist.md","supporting-artifact","LOW","330","0","0"
"apps/web/src/lib/seriesDiscoverCopy.ts","domain-lib","LOW","303","4","0"
"apps/web/scripts/seo-monitor-regression.mjs","seo-or-build-script","LOW","301","3","0"
"apps/web/src/lib/tvShowsDiscoverCopy.ts","domain-lib","LOW","297","4","0"
"apps/web/src/lib/tmdb.test.ts","domain-lib","LOW","277","2","0"
"apps/web/scripts/seo-smoke.mjs","seo-or-build-script","LOW","256","3","0"
"apps/web/scripts/seo-weekly-audit.mjs","seo-or-build-script","LOW","251","3","0"
"apps/web/src/components/Footer/FooterClient.tsx","ui-component","LOW","231","5","0"
"apps/web/tailwind.config.ts","supporting-artifact","LOW","222","3","0"
"scripts/verify-tailwind-tokens.mjs","tokens-or-generated-style","LOW","200","3","0"
"apps/web/scripts/verify-seo-freshness-eeat.mjs","seo-or-build-script","MEDIUM","197","4","0"
"apps/web/scripts/verify-seo-noindex-robots.mjs","seo-or-build-script","MEDIUM","194","4","0"
"docs/superpowers/plans/2026-04-22-seo-foundation-metadata.md","supporting-artifact","LOW","190","0","0"
"apps/web/.seo/route-chunks/_movie_[id]_page.json","supporting-artifact","LOW","178","0","0"
"apps/web/docs/SEO_OPERATIONS.md","supporting-artifact","LOW","173","0","0"
"apps/web/scripts/verify-seo-programmatic-policy.mjs","seo-or-build-script","MEDIUM","167","2","0"
"scripts/lighthouse-lcp.mjs","supporting-artifact","LOW","165","4","0"
"scripts/_migrate-auth-form-colors.mjs","supporting-artifact","LOW","158","1","0"
"apps/web/src/components/MovieDetailPage/MovieOverviewFeedback.module.css","ui-component","LOW","152","0","0"
"apps/web/.seo/route-chunks/_detail_movie_[id]_page.json","supporting-artifact","LOW","148","0","0"
"apps/web/scripts/verify-seo-consistency.mjs","seo-or-build-script","MEDIUM","146","5","0"
"apps/web/src/components/YearRangeSlider/YearRangeSlider.module.css","ui-component","LOW","144","0","0"
"apps/web/scripts/verify-seo-crawl-budget.mjs","seo-or-build-script","MEDIUM","143","4","0"
"apps/web/public/sw.js","supporting-artifact","LOW","141","0","0"
"apps/web/scripts/verify-seo-infra.mjs","seo-or-build-script","MEDIUM","136","3","0"
"apps/web/src/components/FilterBar/FilterBar.module.css","ui-component","LOW","135","0","0"
"apps/web/scripts/indexnow-submit-sitemap.mjs","seo-or-build-script","LOW","130","1","0"
"apps/web/scripts/verify-seo-contracts.mjs","seo-or-build-script","MEDIUM","124","4","0"
"apps/web/src/components/KeyboardShortcutsModal/KeyboardShortcutsModal.module.css","ui-component","LOW","123","0","0"
"apps/web/src/components/FormField/FormField.module.css","ui-component","LOW","123","0","0"
"apps/web/scripts/seo-nightly.mjs","seo-or-build-script","LOW","117","3","0"
"apps/web/scripts/verify-semantic-button-states.mjs","seo-or-build-script","LOW","110","3","0"
"apps/web/HOW_TO_ENABLE_OAUTH.md","supporting-artifact","LOW","108","0","0"
"apps/web/scripts/measure-route-client-chunks.mjs","seo-or-build-script","LOW","107","3","0"
"apps/web/scripts/sync-seo-scaffold-staged.mjs","seo-or-build-script","LOW","101","4","0"
"apps/web/src/components/MovieDetailPage/MovieDetailPageLite.tsx","ui-component","LOW","101","9","0"
".github/workflows/quality.yml","supporting-artifact","LOW","99","0","0"
"CLAUDE.md","supporting-artifact","LOW","98","0","0"
"apps/web/OAUTH_SETUP.md","supporting-artifact","LOW","98","0","0"
"apps/web/scripts/create-seo-page.mjs","seo-or-build-script","LOW","95","4","0"
"apps/web/src/lib/deviceTier.test.ts","domain-lib","LOW","93","2","0"
"apps/web/scripts/verify-seo-report.mjs","seo-or-build-script","MEDIUM","89","3","0"
"docs/seo-entity-canon-stage1.md","supporting-artifact","LOW","88","0","0"
"apps/web/scripts/seo-programmatic-policy.json","seo-or-build-script","LOW","85","0","0"
"package.json","supporting-artifact","LOW","84","0","0"
"apps/web/scripts/verify-seo-internal-links.mjs","seo-or-build-script","MEDIUM","82","3","0"
"apps/web/package.json","supporting-artifact","LOW","80","0","0"
"scripts/sync-figma-tokens.mjs","tokens-or-generated-style","LOW","80","3","0"
"apps/web/src/lib/indexnowPipeline.test.ts","domain-lib","LOW","75","2","0"
"apps/web/scripts/seo-webmaster-loop.mjs","seo-or-build-script","LOW","74","2","0"
"apps/web/docs/SEO_QA_RUNBOOK.md","supporting-artifact","LOW","74","0","0"
"apps/web/scripts/verify-seo-canonical-contract.mjs","seo-or-build-script","MEDIUM","71","3","0"
"grep-output.txt","supporting-artifact","LOW","71","0","0"
